competitionId,goalsHomeTeam,placeId,awayTeamId,goalsAwayTeam,status,homeTeamId,date
407,0,NULL,758,0,FINISHED,770,1966-07-10T23:00:00Z
407,3,NULL,785,0,FINISHED,823,1966-07-11T23:00:00Z
407,2,NULL,817,0,FINISHED,764,1966-07-11T23:00:00Z
407,5,NULL,788,0,FINISHED,821,1966-07-11T23:00:00Z
407,2,NULL,767,0,FINISHED,784,1966-07-12T23:00:00Z
407,3,NULL,827,1,FINISHED,765,1966-07-12T23:00:00Z
407,2,NULL,760,1,FINISHED,762,1966-07-12T23:00:00Z
407,1,NULL,769,1,FINISHED,773,1966-07-12T23:00:00Z
407,2,NULL,788,1,FINISHED,760,1966-07-14T23:00:00Z
407,3,NULL,764,1,FINISHED,827,1966-07-14T23:00:00Z
407,1,NULL,767,1,FINISHED,785,1966-07-14T23:00:00Z
407,2,NULL,773,1,FINISHED,758,1966-07-14T23:00:00Z
407,3,NULL,817,0,FINISHED,765,1966-07-15T23:00:00Z
407,1,NULL,784,0,FINISHED,823,1966-07-15T23:00:00Z
407,0,NULL,762,0,FINISHED,821,1966-07-15T23:00:00Z
407,2,NULL,769,0,FINISHED,770,1966-07-15T23:00:00Z
407,2,NULL,788,0,FINISHED,762,1966-07-18T23:00:00Z
407,0,NULL,769,0,FINISHED,758,1966-07-18T23:00:00Z
407,1,NULL,784,0,FINISHED,785,1966-07-18T23:00:00Z
407,3,NULL,764,1,FINISHED,765,1966-07-18T23:00:00Z
407,2,NULL,767,1,FINISHED,823,1966-07-19T23:00:00Z
407,3,NULL,817,1,FINISHED,827,1966-07-19T23:00:00Z
407,2,NULL,773,0,FINISHED,770,1966-07-19T23:00:00Z
407,2,NULL,760,1,FINISHED,821,1966-07-19T23:00:00Z
407,1,NULL,762,0,FINISHED,770,1966-07-22T23:00:00Z
407,5,NULL,785,3,FINISHED,765,1966-07-22T23:00:00Z
407,2,NULL,827,1,FINISHED,823,1966-07-22T23:00:00Z
407,4,NULL,758,0,FINISHED,821,1966-07-22T23:00:00Z
407,2,NULL,823,1,FINISHED,821,1966-07-24T23:00:00Z
407,2,NULL,765,1,FINISHED,770,1966-07-25T23:00:00Z
407,2,NULL,823,1,FINISHED,765,1966-07-27T23:00:00Z
407,2,NULL,821,2,FINISHED,770,1966-07-29T23:00:00Z
409,0,NULL,823,0,FINISHED,769,1970-05-30T23:00:00Z
409,2,NULL,1061,0,FINISHED,758,1970-06-01T23:00:00Z
409,3,NULL,817,2,FINISHED,452,1970-06-01T23:00:00Z
409,1,NULL,811,0,FINISHED,770,1970-06-01T23:00:00Z
409,2,NULL,815,1,FINISHED,821,1970-06-02T23:00:00Z
409,4,NULL,822,1,FINISHED,764,1970-06-02T23:00:00Z
409,1,NULL,792,0,FINISHED,784,1970-06-02T23:00:00Z
