competitionId,date,status,homeTeamId,awayTeamId,goalsHomeTeam,goalsAwayTeam
407,1966-07-29T23:00:00Z,FINISHED,770,821,2,2
409,1970-05-30T23:00:00Z,FINISHED,769,823,0,0
409,1970-06-01T23:00:00Z,FINISHED,758,1061,2,0
409,1970-06-01T23:00:00Z,FINISHED,452,817,3,2
409,1970-06-01T23:00:00Z,FINISHED,770,811,1,0
409,1970-06-02T23:00:00Z,FINISHED,821,815,2,1
409,1970-06-02T23:00:00Z,FINISHED,764,822,4,1
409,1970-06-02T23:00:00Z,FINISHED,784,792,1,0
409,1970-06-02T23:00:00Z,FINISHED,805,830,3,0
409,1970-06-05T23:00:00Z,FINISHED,811,822,2,1
409,1970-06-05T23:00:00Z,FINISHED,452,815,3,0
409,1970-06-05T23:00:00Z,FINISHED,758,784,0,0
409,1970-06-05T23:00:00Z,FINISHED,823,805,4,1
409,1970-06-06T23:00:00Z,FINISHED,792,1061,1,1
409,1970-06-06T23:00:00Z,FINISHED,764,770,1,0
409,1970-06-06T23:00:00Z,FINISHED,821,817,5,2
409,1970-06-06T23:00:00Z,FINISHED,769,830,4,0
409,1970-06-09T23:00:00Z,FINISHED,823,830,2,0
409,1970-06-09T23:00:00Z,FINISHED,792,758,1,0
409,1970-06-09T23:00:00Z,FINISHED,764,811,3,2
409,1970-06-09T23:00:00Z,FINISHED,821,452,3,1
409,1970-06-10T23:00:00Z,FINISHED,784,1061,0,0
409,1970-06-10T23:00:00Z,FINISHED,817,815,1,1
409,1970-06-10T23:00:00Z,FINISHED,769,805,1,0
409,1970-06-10T23:00:00Z,FINISHED,770,822,1,0
409,1970-06-13T23:00:00Z,FINISHED,764,452,4,2
409,1970-06-13T23:00:00Z,FINISHED,784,769,4,1
409,1970-06-13T23:00:00Z,FINISHED,759,770,2,2
409,1970-06-13T23:00:00Z,FINISHED,758,823,0,0
409,1970-06-16T23:00:00Z,FINISHED,784,821,1,1
409,1970-06-16T23:00:00Z,FINISHED,764,758,3,1
409,1970-06-19T23:00:00Z,FINISHED,821,758,1,0
409,1970-06-20T23:00:00Z,FINISHED,764,784,4,1
375,1974-06-12T23:00:00Z,FINISHED,764,812,0,0
375,1974-06-13T23:00:00Z,FINISHED,821,767,1,0
375,1974-06-13T23:00:00Z,FINISHED,835,814,0,2
375,1974-06-13T23:00:00Z,FINISHED,834,779,2,0
375,1974-06-14T23:00:00Z,FINISHED,784,836,3,1
375,1974-06-14T23:00:00Z,FINISHED,758,756,0,2
375,1974-06-14T23:00:00Z,FINISHED,792,817,0,0
375,1974-06-14T23:00:00Z,FINISHED,794,762,3,2
375,1974-06-17T23:00:00Z,FINISHED,812,835,9,0
375,1974-06-17T23:00:00Z,FINISHED,779,821,0,3
375,1974-06-17T23:00:00Z,FINISHED,814,764,0,0
375,1974-06-17T23:00:00Z,FINISHED,767,834,1,1
375,1974-06-18T23:00:00Z,FINISHED,817,758,1,1
375,1974-06-18T23:00:00Z,FINISHED,762,784,1,1
375,1974-06-18T23:00:00Z,FINISHED,756,792,0,0
375,1974-06-18T23:00:00Z,FINISHED,836,794,0,7
375,1974-06-21T23:00:00Z,FINISHED,835,764,0,3
375,1974-06-21T23:00:00Z,FINISHED,814,812,1,1
375,1974-06-21T23:00:00Z,FINISHED,834,821,1,0
375,1974-06-21T23:00:00Z,FINISHED,779,767,0,0
